image,caption
zara_01.jpg,an orange cardigan sweater with argyles
zara_02.jpg,the sleeveless linen jumpsuit in beige
zara_03.jpg,a woman wearing a knit sleeveless yellow top with a black zipper
zara_04.jpg,a woman in a body hugging knit pink sweater
zara_05.jpg,a mini white pleated skirt with a black waistband
zara_06.jpg,a knit peplum brown jacket with a peterpan collar
zara_07.jpg,a black t - shirt with a round neck and short sleeves
zara_08.jpg,a model in a white shorts jumpsuit
zara_09.jpg,a picture of a beige balloon shorts with zippers
zara_10.jpg,black trousers
zara_11.jpg,a model in a pink mini dress with layered ruffles
zara_12.jpg,a woman in a red spaghetti-strap dress
zara_13.jpg,a woman in a midi striped skirt and sandals
zara_14.jpg,a woman in a blue and white striped shirt dress
zara_15.jpg,a woman wearing a blue and white striped shirt
zara_16.jpg,a blue and white striped spaghetti-strap top
zara_17.jpg,a striped blue halter top
zara_18.jpg,a woman in a blue blazer
zara_19.jpg,wide leg denim pants
zara_20.jpg,striped blue and white spaghetti strap crop top
zara_21.jpg,a woman in a blue spaghetti strap dress
zara_22.jpg,a woman standing on the beach in a printed spaghetti strap dress
zara_23.jpg,a model walks down the runway at the fashion show wearing a mini white asymmetrical dress with ruffles
zara_24.jpg,a sleeveless white mini dress with a layered pleated skirt
zara_25.jpg,sleeveless red gingham dress
zara_26.jpg,red midi gingham skirt
zara_27.jpg,an orange sweater with a white piping on the front
zara_28.jpg,a brown sweater with white piping
zara_29.jpg,a pair of barrel leg jeans with a wide waistband
zara_30.jpg,a white and black polka dot print sun hat
zara_31.jpg,a knit body hugging blue sweater with ruched detailing
zara_32.jpg,leopard print bucket hat
zara_33.jpg,a green strapless top
zara_34.jpg,a powder blue vest with white layer
zara_35.jpg,a woman wearing a red and white gingham ruched cropped top with spaghetti straps
zara_36.jpg,a brown knit cardigan sweater with buttons
zara_37.jpg,a woman wearing a knit grey sleeveless top with ruffle details
zara_38.jpg,a light blue skirt with pleated detailing
zara_39.jpg,a knit brown jacket with a button closure
zara_40.jpg,a knit yellow cardigan sweater with gold buttons and pocket details
zara_41.jpg,a knit red cardigan sweater with gold buttons and pocket details
zara_42.jpg,a blue and white striped bubble shorts
zara_43.jpg,a white mini bubble skirt 
zara_44.jpg,a white paperbag shorts with a belt
zara_45.jpg,beige wide leg trousers
zara_46.jpg,a navy sweater with a round neck and short sleeves
zara_47.jpg,striped knit black and white stripes long-sleeved shirt
zara_48.jpg,a light blue sweater with a round neck and short sleeves
zara_49.jpg,a pair of brown suede shoes on a white surface
zara_50.jpg,woven pair of light blue ballet flats
zara_51.jpg,ballet shoe in beige suede with ties
zara_53.jpg,t - shirt with short sleeves